,mw,msq,0sq,1sq,2sq
0,0.2,2.0,6100,1193,5694
1,0.2,2.2,7471,890,4626
2,0.2,2.3,6237,982,5768
3,0.2,2.7,11361,169,1457
4,0.2,3.0,12336,63,588
5,0.3,2.0,3655,1701,7631
6,0.3,2.2,5242,1237,6508
7,0.3,2.3,6203,949,5835
8,0.3,2.7,9994,360,2633
9,0.3,3.0,11816,107,1064
10,0.5,2.0,1312,2091,9584
11,0.5,2.2,2198,1725,9064
12,0.5,2.3,2782,1461,8744
13,0.5,2.7,6365,766,5856
14,0.5,3.0,9634,349,3004
15,0.7,2.0,531,2242,10214
16,0.7,2.2,784,1843,10360
17,0.7,2.3,1045,1692,10250
18,0.7,2.7,3056,1123,8808
19,0.7,3.0,6103,706,6178
20,0.9,2.0,237,2276,10474
21,0.9,2.2,346,1930,10711
22,0.9,2.3,385,1775,10827
23,0.9,2.7,1301,1294,10392
24,0.9,3.0,3111,958,8918
25,1.1,2.0,149,2335,10503
26,1.1,2.2,193,1932,10862
27,1.1,2.3,196,1896,10895
28,1.1,2.7,488,1373,11126
29,1.1,3.0,1329,1073,10585
